"sentence","noun_phrase","grammatical","corrected"
"There is as special class of pronominal enclitics that are usually situated behind the nouns themselves .","pronominal enclitics","yes","pronominal enclitics"
"There is as special class of pronominal enclitics that are usually situated behind the nouns themselves .","that","yes","that"
"There is as special class of pronominal enclitics that are usually situated behind the nouns themselves .","the nouns","yes","the nouns"
"The question will be approached by firstly looking at the notion of fictive motion .","The question","yes","The question"
"The question will be approached by firstly looking at the notion of fictive motion .","fictive motion","yes","fictive motion"
"The question will be approached by firstly looking at the notion of fictive motion .","the notion","yes","the notion"
"The question will be approached by firstly looking at the notion of fictive motion .","fictive motion","yes","fictive motion"
"Then the usage of =chi in YurakarÌ© will be discussed using specific examples .","the usage","yes","the usage"
"Then the usage of =chi in YurakarÌ© will be discussed using specific examples .","=","yes","="
"Then the usage of =chi in YurakarÌ© will be discussed using specific examples .","YurakarÌ©","yes","YurakarÌ©"
"Then the usage of =chi in YurakarÌ© will be discussed using specific examples .","specific examples","yes","specific examples"
"Then the usage of =chi in YurakarÌ© will be discussed using specific examples .","chi","yes","chi"
"Then the usage of =chi in YurakarÌ© will be discussed using specific examples .","YurakarÌ©","yes","YurakarÌ©"
"Then the usage of =chi in YurakarÌ© will be discussed using specific examples .","specific examples","yes","specific examples"
"Fictive motion is language specific in a sense that it is not directly translatable as such ( 128 ) .","Fictive motion","yes","Fictive motion"
"Fictive motion is language specific in a sense that it is not directly translatable as such ( 128 ) .","language","yes","language"
"Fictive motion is language specific in a sense that it is not directly translatable as such ( 128 ) .","a sense","yes","a sense"
"Fictive motion is language specific in a sense that it is not directly translatable as such ( 128 ) .","it","yes","it"
"Directionality is one of the core features of fictive motions .","Directionality","yes","Directionality"
"Directionality is one of the core features of fictive motions .","fictive motions","yes","fictive motions"
"Directionality is one of the core features of fictive motions .","the core features","yes","the core features"
"Directionality is one of the core features of fictive motions .","fictive motions","yes","fictive motions"
"Talmy observes several types of paths along which the motion might happen .","Talmy","yes","Talmy"
"Talmy observes several types of paths along which the motion might happen .","several types","yes","several types"
"Talmy observes several types of paths along which the motion might happen .","paths","yes","paths"
"Talmy observes several types of paths along which the motion might happen .","several types","yes","several types"
"Talmy observes several types of paths along which the motion might happen .","paths","yes","paths"
"Talmy observes several types of paths along which the motion might happen .","which","yes","which"
"Talmy observes several types of paths along which the motion might happen .","the motion","yes","the motion"
"These three examples showcase that =chi indeed captures the directionality and the goal of movement for the path that is created by the motion verb .","These three examples","yes","These three examples"
"These three examples showcase that =chi indeed captures the directionality and the goal of movement for the path that is created by the motion verb .","chi","yes","chi"
"These three examples showcase that =chi indeed captures the directionality and the goal of movement for the path that is created by the motion verb .","chi","yes","chi"
"These three examples showcase that =chi indeed captures the directionality and the goal of movement for the path that is created by the motion verb .","the directionality","yes","the directionality"
"These three examples showcase that =chi indeed captures the directionality and the goal of movement for the path that is created by the motion verb .","the goal","yes","the goal"
"These three examples showcase that =chi indeed captures the directionality and the goal of movement for the path that is created by the motion verb .","movement","yes","movement"
"These three examples showcase that =chi indeed captures the directionality and the goal of movement for the path that is created by the motion verb .","the path","yes","the path"
"These three examples showcase that =chi indeed captures the directionality and the goal of movement for the path that is created by the motion verb .","that","yes","that"
"These three examples showcase that =chi indeed captures the directionality and the goal of movement for the path that is created by the motion verb .","the motion verb","yes","the motion verb"
"The actual motion happens in all the three examples .","The actual motion","yes","The actual motion"
"The actual motion happens in all the three examples .","all the three examples","yes","all the three examples"
"Something different happens in sentences ( 5 ) - ( 7 ) as there is no clear motion verb in these examples .","Something","yes","Something"
"Something different happens in sentences ( 5 ) - ( 7 ) as there is no clear motion verb in these examples .","sentences","yes","sentences"
"Something different happens in sentences ( 5 ) - ( 7 ) as there is no clear motion verb in these examples .","no clear motion verb","yes","no clear motion verb"
"Something different happens in sentences ( 5 ) - ( 7 ) as there is no clear motion verb in these examples .","these examples","yes","these examples"
"Sentence ( 7 ) has an implied action of pointing to the earth somewhere .","Sentence","yes","Sentence"
"Sentence ( 7 ) has an implied action of pointing to the earth somewhere .","an implied action","yes","an implied action"
"Sentence ( 7 ) has an implied action of pointing to the earth somewhere .","the earth","yes","the earth"
"The static elements start to create a movement path .","The static elements","yes","The static elements"
"The static elements start to create a movement path .","a movement path","yes","a movement path"
"Certainly it doesn Ûa t have to represent any physical motion. Û ( 140 ) .","it","yes","it"
"Certainly it doesn Ûa t have to represent any physical motion. Û ( 140 ) .","any physical motion","yes","any physical motion"
"The example in ( 5 ) is probably the less comprehensive .","The example","yes","The example"
"The example in ( 5 ) is probably the less comprehensive .","the less comprehensive","no","less comprehensive"
"There is motion assumed that precedes the state that is described in the sentence .","motion","no","a motion"
"There is motion assumed that precedes the state that is described in the sentence .","motion","no","a motion"
"There is motion assumed that precedes the state that is described in the sentence .","the state","yes","the state"
"There is motion assumed that precedes the state that is described in the sentence .","that","yes","that"
"There is motion assumed that precedes the state that is described in the sentence .","the sentence","yes","the sentence"
"( 139 ) The effect created is called Û÷ motion-after Ûa effect ( 138 ) .","The effect","yes","The effect"
"It is used to modify either the noun or the demonstrative .","It","yes","It"
"It is used to modify either the noun or the demonstrative .","the noun","yes","the noun"
"The question that stays open relates to the semantic properties of the verbs that were assumed as static in this analysis as well as the cases in which a future motion is intended .","that","yes","that"
"The question that stays open relates to the semantic properties of the verbs that were assumed as static in this analysis as well as the cases in which a future motion is intended .","the semantic properties","yes","the semantic properties"
"The question that stays open relates to the semantic properties of the verbs that were assumed as static in this analysis as well as the cases in which a future motion is intended .","the verbs","yes","the verbs"
"The question that stays open relates to the semantic properties of the verbs that were assumed as static in this analysis as well as the cases in which a future motion is intended .","this analysis","yes","this analysis"
"The question that stays open relates to the semantic properties of the verbs that were assumed as static in this analysis as well as the cases in which a future motion is intended .","the cases","yes","the cases"
"The question that stays open relates to the semantic properties of the verbs that were assumed as static in this analysis as well as the cases in which a future motion is intended .","which","yes","which"
"The question that stays open relates to the semantic properties of the verbs that were assumed as static in this analysis as well as the cases in which a future motion is intended .","a future motion","yes","a future motion"
"The current analysis suggests that in YurakarÌ© =chi serves as one of such motion elements .","The current analysis","yes","The current analysis"
"The current analysis suggests that in YurakarÌ© =chi serves as one of such motion elements .","such motion elements","no","such motion element"
"The current analysis suggests that in YurakarÌ© =chi serves as one of such motion elements .","YurakarÌ©","yes","YurakarÌ©"
"The current analysis suggests that in YurakarÌ© =chi serves as one of such motion elements .","=","yes","="
"The current analysis suggests that in YurakarÌ© =chi serves as one of such motion elements .","YurakarÌ©","yes","YurakarÌ©"
"The current analysis suggests that in YurakarÌ© =chi serves as one of such motion elements .","chi","yes","chi"
"The current analysis suggests that in YurakarÌ© =chi serves as one of such motion elements .","such motion elements","no","such motion element"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","further research","yes","further research"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","YurakarÌ©","yes","YurakarÌ©"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","other instances","yes","other instances"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","=","yes","="
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","further research","yes","further research"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","fictive motion","no","the fictive motion"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","static verbs","yes","static verbs"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","it","yes","it"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","other instances","yes","other instances"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","fictive motion","yes","fictive motion"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","YurakarÌ©","yes","YurakarÌ©"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","that","yes","that"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","the help","yes","the help"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","chi","yes","chi"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","the semantics","yes","the semantics"
"For further research it is necessary to look at other instances of fictive motion in YurakarÌ© ( that are created without the help of =chi ) and outline the semantics of static verbs .","static verbs","no","the static verbs"
"SPACE AND TIME : LOCATIVE DEMONSTRATIVES IN MAKHUWA","TIME","yes","TIME"
"SPACE AND TIME : LOCATIVE DEMONSTRATIVES IN MAKHUWA","MAKHUWA","yes","MAKHUWA"
"SPACE AND TIME : LOCATIVE DEMONSTRATIVES IN MAKHUWA","LOCATIVE DEMONSTRATIVES","yes","LOCATIVE DEMONSTRATIVES"
"SPACE AND TIME : LOCATIVE DEMONSTRATIVES IN MAKHUWA","LOCATIVE DEMONSTRATIVES","yes","LOCATIVE DEMONSTRATIVES"
"SPACE AND TIME : LOCATIVE DEMONSTRATIVES IN MAKHUWA","MAKHUWA","yes","MAKHUWA"
"Makhuwa is a Bantu language ( Guthri code P.31 ) spoken on Ilha de MoÌ¤ambique .","Makhuwa","yes","Makhuwa"
"Makhuwa is a Bantu language ( Guthri code P.31 ) spoken on Ilha de MoÌ¤ambique .","( Guthri code P.31","yes","( Guthri code P.31"
"Makhuwa is a Bantu language ( Guthri code P.31 ) spoken on Ilha de MoÌ¤ambique .","a Bantu language","yes","a Bantu language"
"Makhuwa is a Bantu language ( Guthri code P.31 ) spoken on Ilha de MoÌ¤ambique .","( Guthri code P.31","yes","( Guthri code P.31"
"Makhuwa is a Bantu language ( Guthri code P.31 ) spoken on Ilha de MoÌ¤ambique .","Ilha de MoÌ¤ambique","yes","Ilha de MoÌ¤ambique"
"Such system is also applicable to the demonstratives .","Such system","yes","Such system"
"Such system is also applicable to the demonstratives .","Such system","yes","Such system"
"Such system is also applicable to the demonstratives .","the demonstratives","yes","the demonstratives"
"It was found that the demonstratives in the class 16 in particular in some contexts are deviating from the locative meaning and being grammaticalised or pragmaticalised .","It","yes","It"
"It was found that the demonstratives in the class 16 in particular in some contexts are deviating from the locative meaning and being grammaticalised or pragmaticalised .","the demonstratives","yes","the demonstratives"
"It was found that the demonstratives in the class 16 in particular in some contexts are deviating from the locative meaning and being grammaticalised or pragmaticalised .","the class","yes","the class"
"It was found that the demonstratives in the class 16 in particular in some contexts are deviating from the locative meaning and being grammaticalised or pragmaticalised .","some contexts","yes","some contexts"
"It was found that the demonstratives in the class 16 in particular in some contexts are deviating from the locative meaning and being grammaticalised or pragmaticalised .","the locative meaning","no","locative meaning"
"The research question of the current essay is : to what extent the temporal reading can still be accounted for for the proximal and medial locative determiners in Makhuwa ?","The research question","yes","The research question"
"The research question of the current essay is : to what extent the temporal reading can still be accounted for for the proximal and medial locative determiners in Makhuwa ?","the current essay","yes","the current essay"
"The research question of the current essay is : to what extent the temporal reading can still be accounted for for the proximal and medial locative determiners in Makhuwa ?","what extent","yes","what extent"
"The research question of the current essay is : to what extent the temporal reading can still be accounted for for the proximal and medial locative determiners in Makhuwa ?","the temporal reading","yes","the temporal reading"
"The research question of the current essay is : to what extent the temporal reading can still be accounted for for the proximal and medial locative determiners in Makhuwa ?","the proximal and medial locative determiners","yes","the proximal and medial locative determiners"
"The research question of the current essay is : to what extent the temporal reading can still be accounted for for the proximal and medial locative determiners in Makhuwa ?","Makhuwa","yes","Makhuwa"
"The aim is to critically review the examples and interpretation outlined by Van der Wal and showcase that there is a potential for a temporal reading ( which though might not be as explicit as for the distal demonstrative ) .","The aim","yes","The aim"
"The aim is to critically review the examples and interpretation outlined by Van der Wal and showcase that there is a potential for a temporal reading ( which though might not be as explicit as for the distal demonstrative ) .","the examples","yes","the examples"
"The aim is to critically review the examples and interpretation outlined by Van der Wal and showcase that there is a potential for a temporal reading ( which though might not be as explicit as for the distal demonstrative ) .","interpretation","no","the interpretation"
"The aim is to critically review the examples and interpretation outlined by Van der Wal and showcase that there is a potential for a temporal reading ( which though might not be as explicit as for the distal demonstrative ) .","Van der Wal","yes","Van der Wal"
"The aim is to critically review the examples and interpretation outlined by Van der Wal and showcase that there is a potential for a temporal reading ( which though might not be as explicit as for the distal demonstrative ) .","a potential","yes","a potential"
"The aim is to critically review the examples and interpretation outlined by Van der Wal and showcase that there is a potential for a temporal reading ( which though might not be as explicit as for the distal demonstrative ) .","a temporal reading","yes","a temporal reading"
"The aim is to critically review the examples and interpretation outlined by Van der Wal and showcase that there is a potential for a temporal reading ( which though might not be as explicit as for the distal demonstrative ) .","which","yes","which"
"The aim is to critically review the examples and interpretation outlined by Van der Wal and showcase that there is a potential for a temporal reading ( which though might not be as explicit as for the distal demonstrative ) .","the distal demonstrative","yes","the distal demonstrative"
"This paper looks at three locative demonstratives from the 16 class .","This paper","yes","This paper"
"This paper looks at three locative demonstratives from the 16 class .","three locative demonstratives","yes","three locative demonstratives"
"This paper looks at three locative demonstratives from the 16 class .","three locative demonstratives","yes","three locative demonstratives"
"This paper looks at three locative demonstratives from the 16 class .","the 16 class","yes","the 16 class"
"It was indeed shown that vÌÁle undergoes grammaticalisation via obtaining the temporal interpretation in certain contexts .","It","yes","It"
"It was indeed shown that vÌÁle undergoes grammaticalisation via obtaining the temporal interpretation in certain contexts .","vÌÁle","yes","vÌÁle"
"It was indeed shown that vÌÁle undergoes grammaticalisation via obtaining the temporal interpretation in certain contexts .","the temporal interpretation","yes","the temporal interpretation"
"It was indeed shown that vÌÁle undergoes grammaticalisation via obtaining the temporal interpretation in certain contexts .","certain contexts","yes","certain contexts"
"In its locative use vÌÁle is placed after the noun ( which is also marked for location ) .","its locative use","yes","its locative use"
"In its locative use vÌÁle is placed after the noun ( which is also marked for location ) .","vÌÁle","yes","vÌÁle"
"In its locative use vÌÁle is placed after the noun ( which is also marked for location ) .","vÌÁle","yes","vÌÁle"
"In its locative use vÌÁle is placed after the noun ( which is also marked for location ) .","the noun","yes","the noun"
"In its locative use vÌÁle is placed after the noun ( which is also marked for location ) .","which","yes","which"
"In its locative use vÌÁle is placed after the noun ( which is also marked for location ) .","location","no","the location"
"It can also be used in the relative clause and as an independent pronoun .","It","yes","It"
"It can also be used in the relative clause and as an independent pronoun .","the relative clause","yes","the relative clause"
"It can also be used in the relative clause and as an independent pronoun .","an independent pronoun","yes","an independent pronoun"
"In this case the locative demonstrative loses its original locative meaning and is no longer linked to a specific noun class .","this case","yes","this case"
"In this case the locative demonstrative loses its original locative meaning and is no longer linked to a specific noun class .","the locative demonstrative","yes","the locative demonstrative"
"In this case the locative demonstrative loses its original locative meaning and is no longer linked to a specific noun class .","its original locative meaning","yes","its original locative meaning"
"In this case the locative demonstrative loses its original locative meaning and is no longer linked to a specific noun class .","a specific noun class","yes","a specific noun class"
"There are certain restrictions on subordinate clauses with temporal sequence in which vÌÁle is allowed .","certain restrictions","yes","certain restrictions"
"There are certain restrictions on subordinate clauses with temporal sequence in which vÌÁle is allowed .","subordinate clauses","no","the subordinate clauses"
"There are certain restrictions on subordinate clauses with temporal sequence in which vÌÁle is allowed .","vÌÁle","yes","vÌÁle"
"There are certain restrictions on subordinate clauses with temporal sequence in which vÌÁle is allowed .","temporal sequence","no","a temporal sequence"
"There are certain restrictions on subordinate clauses with temporal sequence in which vÌÁle is allowed .","subordinate clauses","no","the subordinate clauses"
"There are certain restrictions on subordinate clauses with temporal sequence in which vÌÁle is allowed .","temporal sequence","no","a temporal sequence"
"There are certain restrictions on subordinate clauses with temporal sequence in which vÌÁle is allowed .","which","yes","which"
"There are certain restrictions on subordinate clauses with temporal sequence in which vÌÁle is allowed .","vÌÁle","yes","vÌÁle"
"Then it is further transformed into having a conditional reading .","it","yes","it"
"Then it is further transformed into having a conditional reading .","a conditional reading","yes","a conditional reading"
"The proximal demonstrative vÌÁ and the medial demonstrative vÌ_ have a similar distribution to vÌÁle in their locative meaning : adnominal demonstratives after the noun and pronouns .","the medial demonstrative vÌ_","yes","the medial demonstrative vÌ_"
"The proximal demonstrative vÌÁ and the medial demonstrative vÌ_ have a similar distribution to vÌÁle in their locative meaning : adnominal demonstratives after the noun and pronouns .","pronouns","no","the pronouns"
"The proximal demonstrative vÌÁ and the medial demonstrative vÌ_ have a similar distribution to vÌÁle in their locative meaning : adnominal demonstratives after the noun and pronouns .","adnominal demonstratives","yes","adnominal demonstratives"
"The proximal demonstrative vÌÁ and the medial demonstrative vÌ_ have a similar distribution to vÌÁle in their locative meaning : adnominal demonstratives after the noun and pronouns .","a similar distribution","yes","a similar distribution"
"The proximal demonstrative vÌÁ and the medial demonstrative vÌ_ have a similar distribution to vÌÁle in their locative meaning : adnominal demonstratives after the noun and pronouns .","their locative meaning","yes","their locative meaning"
"The proximal demonstrative vÌÁ and the medial demonstrative vÌ_ have a similar distribution to vÌÁle in their locative meaning : adnominal demonstratives after the noun and pronouns .","adnominal demonstratives","yes","adnominal demonstratives"
"The proximal demonstrative vÌÁ and the medial demonstrative vÌ_ have a similar distribution to vÌÁle in their locative meaning : adnominal demonstratives after the noun and pronouns .","the noun","yes","the noun"
"The proximal demonstrative vÌÁ and the medial demonstrative vÌ_ have a similar distribution to vÌÁle in their locative meaning : adnominal demonstratives after the noun and pronouns .","pronouns","no","the pronouns"
"In the left periphery the particles are mostly used to attract the attention of the hearer or connect the sentences in the discourse .","the left periphery","yes","the left periphery"
"In the left periphery the particles are mostly used to attract the attention of the hearer or connect the sentences in the discourse .","the particles","no","particles"
"In the left periphery the particles are mostly used to attract the attention of the hearer or connect the sentences in the discourse .","the attention","yes","the attention"
"In the left periphery the particles are mostly used to attract the attention of the hearer or connect the sentences in the discourse .","the hearer","yes","the hearer"
"In the left periphery the particles are mostly used to attract the attention of the hearer or connect the sentences in the discourse .","the sentences","no","sentences"
"In the left periphery the particles are mostly used to attract the attention of the hearer or connect the sentences in the discourse .","the discourse","yes","the discourse"
"In the right periphery they serve as intensifiers to reinforce the message .","the right periphery","yes","the right periphery"
"In the right periphery they serve as intensifiers to reinforce the message .","intensifiers","yes","intensifiers"
"In the right periphery they serve as intensifiers to reinforce the message .","they","yes","they"
"In the right periphery they serve as intensifiers to reinforce the message .","intensifiers","yes","intensifiers"
"In the right periphery they serve as intensifiers to reinforce the message .","the message","yes","the message"
"The interpretation of vÌÁ as indicating the immediate nearest point in time correlates with its use as a proximal locative demonstrative .","The interpretation","yes","The interpretation"
"The interpretation of vÌÁ as indicating the immediate nearest point in time correlates with its use as a proximal locative demonstrative .","the immediate nearest point","yes","the immediate nearest point"
"The interpretation of vÌÁ as indicating the immediate nearest point in time correlates with its use as a proximal locative demonstrative .","time","yes","time"
"The interpretation of vÌÁ as indicating the immediate nearest point in time correlates with its use as a proximal locative demonstrative .","its use","yes","its use"
"Comparable situation can be observed with vÌ_ in ( 4 ) also taken from Van der Wal .","Comparable situation","no","A comparable situation"
"Comparable situation can be observed with vÌ_ in ( 4 ) also taken from Van der Wal .","vÌ_","yes","vÌ_"
"Comparable situation can be observed with vÌ_ in ( 4 ) also taken from Van der Wal .","Van der Wal","yes","Van der Wal"
"No negative attitude is highlighted here and Van der Wal interprets this use of the particle as a warning .","No negative attitude","yes","No negative attitude"
"No negative attitude is highlighted here and Van der Wal interprets this use of the particle as a warning .","Van der Wal","yes","Van der Wal"
"No negative attitude is highlighted here and Van der Wal interprets this use of the particle as a warning .","this use","yes","this use"
"No negative attitude is highlighted here and Van der Wal interprets this use of the particle as a warning .","the particle","yes","the particle"
"No negative attitude is highlighted here and Van der Wal interprets this use of the particle as a warning .","a warning","yes","a warning"
"The point in time referred to in ( 4 ) is therefore less immediate and less concrete than that in ( 3 ) .","The point","yes","The point"
"The point in time referred to in ( 4 ) is therefore less immediate and less concrete than that in ( 3 ) .","time","yes","time"
"The point in time referred to in ( 4 ) is therefore less immediate and less concrete than that in ( 3 ) .","that","yes","that"
"It was argued that the grammaticalisation path for all three of them involve the temporal metaphor as an intermediate step following the reasoning of the TIME AS SPACE metaphor .","It","yes","It"
"It was argued that the grammaticalisation path for all three of them involve the temporal metaphor as an intermediate step following the reasoning of the TIME AS SPACE metaphor .","the grammaticalisation path","yes","the grammaticalisation path"
"It was argued that the grammaticalisation path for all three of them involve the temporal metaphor as an intermediate step following the reasoning of the TIME AS SPACE metaphor .","them","yes","them"
"It was argued that the grammaticalisation path for all three of them involve the temporal metaphor as an intermediate step following the reasoning of the TIME AS SPACE metaphor .","the temporal metaphor","yes","the temporal metaphor"
"It was argued that the grammaticalisation path for all three of them involve the temporal metaphor as an intermediate step following the reasoning of the TIME AS SPACE metaphor .","an intermediate step","yes","an intermediate step"
"It was argued that the grammaticalisation path for all three of them involve the temporal metaphor as an intermediate step following the reasoning of the TIME AS SPACE metaphor .","the reasoning","yes","the reasoning"
"It was argued that the grammaticalisation path for all three of them involve the temporal metaphor as an intermediate step following the reasoning of the TIME AS SPACE metaphor .","the TIME","yes","the TIME"
"It was argued that the grammaticalisation path for all three of them involve the temporal metaphor as an intermediate step following the reasoning of the TIME AS SPACE metaphor .","SPACE metaphor","yes","SPACE metaphor"
"The temporal reading of the medial locative demonstrative was the least expected as the paper reviewed in this essay suggests .","The temporal reading","yes","The temporal reading"
"The temporal reading of the medial locative demonstrative was the least expected as the paper reviewed in this essay suggests .","the medial locative demonstrative","yes","the medial locative demonstrative"
"The temporal reading of the medial locative demonstrative was the least expected as the paper reviewed in this essay suggests .","the paper","yes","the paper"
"The temporal reading of the medial locative demonstrative was the least expected as the paper reviewed in this essay suggests .","this essay","yes","this essay"
"Such interpretation is indeed meaningful and adds to the understanding of the difference between the two .","Such interpretation","yes","Such interpretation"
"Such interpretation is indeed meaningful and adds to the understanding of the difference between the two .","Such interpretation","yes","Such interpretation"
"Such interpretation is indeed meaningful and adds to the understanding of the difference between the two .","the understanding","yes","the understanding"
"Such interpretation is indeed meaningful and adds to the understanding of the difference between the two .","the difference","yes","the difference"
"A more detailed research is needed with a special focus on diachronic variation on one hand and on checking with speakers whether the temporal reading can be easily extracted .","A more detailed research","yes","A more detailed research"
"A more detailed research is needed with a special focus on diachronic variation on one hand and on checking with speakers whether the temporal reading can be easily extracted .","a special focus","yes","a special focus"
"A more detailed research is needed with a special focus on diachronic variation on one hand and on checking with speakers whether the temporal reading can be easily extracted .","diachronic variation","yes","diachronic variation"
"A more detailed research is needed with a special focus on diachronic variation on one hand and on checking with speakers whether the temporal reading can be easily extracted .","one hand","yes","one hand"
"A more detailed research is needed with a special focus on diachronic variation on one hand and on checking with speakers whether the temporal reading can be easily extracted .","speakers","no","the speakers"
"A more detailed research is needed with a special focus on diachronic variation on one hand and on checking with speakers whether the temporal reading can be easily extracted .","the temporal reading","no","a temporal reading"
"PATH IN IRAQW : DIRECTIONAL AND ABLATIVE CLITICS","IRAQW","yes","IRAQW"
"PATH IN IRAQW : DIRECTIONAL AND ABLATIVE CLITICS","PATH","yes","PATH"
"PATH IN IRAQW : DIRECTIONAL AND ABLATIVE CLITICS","DIRECTIONAL","yes","DIRECTIONAL"
"PATH IN IRAQW : DIRECTIONAL AND ABLATIVE CLITICS","IRAQW","yes","IRAQW"
"PATH IN IRAQW : DIRECTIONAL AND ABLATIVE CLITICS","DIRECTIONAL","yes","DIRECTIONAL"
"PATH IN IRAQW : DIRECTIONAL AND ABLATIVE CLITICS","ABLATIVE CLITICS","yes","ABLATIVE CLITICS"
"Iraqw is a Cushitic language spoken in Northern Tanzania .","Iraqw","yes","Iraqw"
"Iraqw is a Cushitic language spoken in Northern Tanzania .","Iraqw","yes","Iraqw"
"Iraqw is a Cushitic language spoken in Northern Tanzania .","a Cushitic language","yes","a Cushitic language"
"Iraqw is a Cushitic language spoken in Northern Tanzania .","Northern Tanzania","yes","Northern Tanzania"
"There is about half a million speakers of Iraqw .","about half a million speakers","yes","about half a million speakers"
"There is about half a million speakers of Iraqw .","Iraqw","yes","Iraqw"
"There is about half a million speakers of Iraqw .","Iraqw","yes","Iraqw"
"In the research on Iraqw language specific attention is paid to the way space and time are expressed and related .","the research","yes","the research"
"In the research on Iraqw language specific attention is paid to the way space and time are expressed and related .","Iraqw language specific attention","yes","Iraqw language specific attention"
"In the research on Iraqw language specific attention is paid to the way space and time are expressed and related .","specific attention","no","a specific attention"
"In the research on Iraqw language specific attention is paid to the way space and time are expressed and related .","Iraqw language","yes","Iraqw language"
"In the research on Iraqw language specific attention is paid to the way space and time are expressed and related .","the way space","yes","the way space"
"In the research on Iraqw language specific attention is paid to the way space and time are expressed and related .","time","yes","time"
"There is no timeline of which one could locate certain events and create the relationship among them .","no timeline","yes","no timeline"
"There is no timeline of which one could locate certain events and create the relationship among them .","which","yes","which"
"There is no timeline of which one could locate certain events and create the relationship among them .","one","yes","one"
"There is no timeline of which one could locate certain events and create the relationship among them .","certain events","no","the certain events"
"There is no timeline of which one could locate certain events and create the relationship among them .","the relationship","yes","the relationship"
"There is no timeline of which one could locate certain events and create the relationship among them .","them","yes","them"
"It is argued temporal sequence and relations in the narratives are recreated using spatial means .","It","yes","It"
"It is argued temporal sequence and relations in the narratives are recreated using spatial means .","relations","yes","relations"
"It is argued temporal sequence and relations in the narratives are recreated using spatial means .","spatial means","yes","spatial means"
"It is argued temporal sequence and relations in the narratives are recreated using spatial means .","temporal sequence","no","the temporal sequence"
"It is argued temporal sequence and relations in the narratives are recreated using spatial means .","relations","yes","relations"
"It is argued temporal sequence and relations in the narratives are recreated using spatial means .","the narratives","yes","the narratives"
"It is argued temporal sequence and relations in the narratives are recreated using spatial means .","spatial means","yes","spatial means"
"The notion of fictive motion was introduce by Talmy and is closely linked to the notion of path .","The notion","yes","The notion"
"The notion of fictive motion was introduce by Talmy and is closely linked to the notion of path .","path","yes","path"
"The notion of fictive motion was introduce by Talmy and is closely linked to the notion of path .","fictive motion","yes","fictive motion"
"The notion of fictive motion was introduce by Talmy and is closely linked to the notion of path .","fictive motion","yes","fictive motion"
"The notion of fictive motion was introduce by Talmy and is closely linked to the notion of path .","Talmy","yes","Talmy"
"The notion of fictive motion was introduce by Talmy and is closely linked to the notion of path .","the notion","yes","the notion"
"The notion of fictive motion was introduce by Talmy and is closely linked to the notion of path .","path","yes","path"
"Fictive notion refers to the phenomenon of representing something static as moving as in ( 1 ) for English .","Fictive notion","yes","Fictive notion"
"Fictive notion refers to the phenomenon of representing something static as moving as in ( 1 ) for English .","the phenomenon","yes","the phenomenon"
"Fictive notion refers to the phenomenon of representing something static as moving as in ( 1 ) for English .","something","yes","something"
"Fictive notion refers to the phenomenon of representing something static as moving as in ( 1 ) for English .","English","yes","English"
"This implies the need for a directionality of the path .","This","yes","This"
"This implies the need for a directionality of the path .","the need","yes","the need"
"This implies the need for a directionality of the path .","a directionality","no","the directionality"
"This implies the need for a directionality of the path .","the path","yes","the path"
"The movement in ( 2b ) is also real .","The movement","yes","The movement"
"The movement in ( 2b ) is also real .","2b","yes","2b"
"Similar situation happened if the ablative clitic is used in the sentences that have a static verb like in ( 5 ) .","Similar situation","yes","Similar situation"
"Similar situation happened if the ablative clitic is used in the sentences that have a static verb like in ( 5 ) .","the ablative clitic","no","ablative clitic"
"Similar situation happened if the ablative clitic is used in the sentences that have a static verb like in ( 5 ) .","the sentences","yes","the sentences"
